224  60
0.1929431214  0.1928741203  0.9620667989
0.3623551701  0.8587184995  0.3623551701
0.3383786632  0.7795457921  0.5270751733
0.5281533975  0.7794081527  0.3370117509
0.4937213288  0.7167246674  0.4924885793
0.3790625643  0.9068425133  0.1842504503
0.5497977423  0.8176421049  0.1708327570
0.1843387392  0.9068441602  0.3790156966
0.1715440692  0.8178431399  0.5492770074
0.1929431211  0.9620667990  0.1928741201
0.8587184995  0.3623551701  0.3623551701
0.7796346229  0.3382939876  0.5269981335
0.9075396938  0.1835297369  0.3777413663
0.8183342173  0.1711387416  0.5486717051
0.9075396938  0.3777413663  0.1835297369
0.9625130833  0.1917922894  0.1917922894
0.7796346231  0.5269981331  0.3382939879
0.7167480053  0.4930883778  0.4930883781
0.8183342173  0.5486717049  0.1711387417
0.7247103401  0.7247103401  1.7174369991
1.0563067950  0.6740235019  1.5588163054
0.7581273428  0.3685021088  1.8136838555
1.0995964615  0.3416660416  1.6352834427
0.3686774801  0.7580313942  1.8136883197
0.3858874323  0.3857489048  1.9241332262
0.6767573265  1.0541503460  1.5590915846
0.9874426576  0.9849771582  1.4334493349
0.3430881391  1.0985540148  1.6356862796
1.7174369991  0.7247103401  0.7247103401
1.8150793876  0.3670594739  0.7554827326
1.8150793876  0.7554827326  0.3670594739
1.9250261665  0.3835845789  0.3835845789
1.5592690038  1.0539975120  0.6765865934
1.6366681819  1.0973439957  0.3422768143
1.5592690038  0.6765865938  1.0539975119
1.6366681819  0.3422768145  1.0973439956
1.4334960597  0.9861767203  0.9861767200
0.7247103401  1.7174369991  0.7247103401
1.0563067950  1.5588163054  0.6740235019
0.6767573261  1.5590915845  1.0541503464
0.9874426574  1.4334493349  0.9849771585
0.3686774805  1.8136883197  0.7580313941
0.3430881391  1.6356862795  1.0985540150
0.7581273431  1.8136838554  0.3685021088
1.0995964616  1.6352834426  0.3416660416
0.3858874327  1.9241332261  0.3857489048
9  59  89  26  60  90  91  28  92  
26  89  41  8  91  93  42  27  94  
59  3  17  89  61  19  95  90  96  
89  17  2  41  95  18  43  93  97  
5  56  98  20  57  99  100  22  101  
20  98  38  4  100  102  39  21  103  
56  9  26  98  58  28  104  99  105  
98  26  8  38  104  27  40  102  106  
2  17  107  44  18  108  109  45  110  
44  107  23  6  109  111  24  46  112  
17  3  62  107  19  63  113  108  114  
107  62  7  23  113  64  25  111  115  
6  23  116  47  24  117  118  48  119  
47  116  14  0  118  120  15  49  121  
23  7  65  116  25  66  122  117  123  
116  65  1  14  122  67  16  120  124  
4  20  125  35  21  126  127  37  128  
35  125  29  10  127  129  30  36  130  
20  5  53  125  22  55  131  126  132  
125  53  11  29  131  54  31  129  133  
10  29  134  32  30  135  136  34  137  
32  134  14  0  136  138  15  33  139  
29  11  50  134  31  52  140  135  141  
134  50  1  14  140  51  16  138  142  
11  77  143  29  78  144  145  31  146  
29  143  68  10  145  147  69  30  148  
77  13  86  143  79  88  149  144  150  
143  86  12  68  149  87  70  147  151  
12  86  152  71  87  153  154  72  155  
71  152  23  6  154  156  24  73  157  
86  13  80  152  88  81  158  153  159  
152  80  7  23  158  82  25  156  160  
13  83  161  86  84  162  163  88  164  
86  161  74  12  163  165  75  87  166  
83  9  26  161  85  28  167  162  168  
161  26  8  74  167  27  76  165  169  
12  74  170  68  75  171  172  70  173  
68  170  35  10  172  174  36  69  175  
74  8  38  170  76  40  176  171  177  
170  38  4  35  176  39  37  174  178  
12  74  179  71  75  180  181  72  182  
71  179  44  6  181  183  46  73  184  
74  8  41  179  76  42  185  180  186  
179  41  2  44  185  43  45  183  187  
10  68  188  32  69  189  190  34  191  
32  188  47  0  190  192  49  33  193  
68  12  71  188  70  72  194  189  195  
188  71  6  47  194  73  48  192  196  
11  77  197  53  78  198  199  54  200  
53  197  56  5  199  201  57  55  202  
77  13  83  197  79  84  203  198  204  
197  83  9  56  203  85  58  201  205  
1  50  206  65  51  207  208  67  209  
65  206  80  7  208  210  82  66  211  
50  11  77  206  52  78  212  207  213  
206  77  13  80  212  79  81  210  214  
13  80  215  83  81  216  217  84  218  
83  215  59  9  217  219  60  85  220  
80  7  62  215  82  64  221  216  222  
215  62  3  59  221  63  61  219  223  
